severity,metric,mean,std,lower_95,upper_95,n
0.0,accuracy,0.9726666666666667,0.0,0.9726666666666667,0.9726666666666667,1
0.0,precision,0.5675675675675675,0.0,0.5675675675675675,0.5675675675675675,1
0.0,recall,0.8235294117647058,0.0,0.8235294117647058,0.8235294117647058,1
0.0,f1,0.672,0.0,0.672,0.672,1
0.0,average_precision,0.7803092553507491,0.0,0.7803092553507491,0.7803092553507491,1
0.05,accuracy,0.9723555555555555,0.0017658604391845017,0.9717236505128699,0.9729874605982411,30
0.05,precision,0.5685982739521271,0.019953079815037314,0.5614581560399478,0.5757383918643065,30
0.05,recall,0.777124183006536,0.030673125271329208,0.766147946094614,0.7881004199184579,30
0.05,f1,0.6565116659292339,0.021460263356622874,0.648832209313357,0.6641911225451109,30
0.05,average_precision,0.7233405494885221,0.0268544545355838,0.7137308063496798,0.7329502926273644,30
0.1,accuracy,0.9713999999999999,0.0024719111690322,0.9705154379484804,0.9722845620515195,30
0.1,precision,0.5626983840273425,0.030173706965364283,0.5519008616610017,0.5734959063936833,30
0.1,recall,0.7189542483660131,0.044395364593492775,0.7030675711768186,0.7348409255552075,30
0.1,f1,0.6308069098985299,0.03125513641574652,0.6196224029733637,0.6419914168236962,30
0.1,average_precision,0.656866054496123,0.04468960036806045,0.6408740863872374,0.6728580226050086,30
0.2,accuracy,0.9711555555555555,0.0022140847175873652,0.9703632555147762,0.9719478555963349,30
0.2,precision,0.5689753884540604,0.03012630991961669,0.5581948269027148,0.5797559500054059,30
0.2,recall,0.6287581699346405,0.0549631006359172,0.6090898769694778,0.6484264628998032,30
0.2,f1,0.5964386009783087,0.03571191011615783,0.5836592580667272,0.6092179438898901,30
0.2,average_precision,0.5716302457881715,0.05474720740702508,0.5520392092227736,0.5912212823535693,30
0.3,accuracy,0.970311111111111,0.0030762136916806914,0.969210302179093,0.971411920043129,30
0.3,precision,0.5709015269240061,0.052784972825475146,0.5520126669856502,0.589790386862362,30
0.3,recall,0.5228758169934641,0.052848021950712774,0.5039643952154008,0.5417872387715273,30
0.3,f1,0.5446699576648303,0.04597622278731985,0.5282175776362248,0.5611223376934358,30
0.3,average_precision,0.49183395707352046,0.05960002445039672,0.4705063622315505,0.5131615519154904,30
