accuracy,precision,recall,f1,average_precision,tn,fp,fn,tp,training_fraction,seed,training_size,training_failures
0.962,0.45161290322580644,0.5490196078431373,0.49557522123893805,0.6235448588242732,1415,34,23,28,0.2,219,1400,47
0.9686666666666667,0.5263157894736842,0.7843137254901961,0.6299212598425197,0.6591777329320958,1413,36,11,40,0.4,200,2800,95
0.9686666666666667,0.5294117647058824,0.7058823529411765,0.6050420168067226,0.6305973485851961,1417,32,15,36,0.4,201,2800,95
0.9666666666666667,0.5068493150684932,0.7254901960784313,0.5967741935483871,0.6625162644382147,1413,36,14,37,0.4,202,2800,95
0.9666666666666667,0.5068493150684932,0.7254901960784313,0.5967741935483871,0.6843245171593014,1413,36,14,37,0.4,203,2800,95
0.9693333333333334,0.5342465753424658,0.7647058823529411,0.6290322580645161,0.659134075802055,1415,34,12,39,0.4,204,2800,95
0.9646666666666667,0.4878048780487805,0.7843137254901961,0.6015037593984962,0.6651339687488198,1407,42,11,40,0.4,205,2800,95
0.9686666666666667,0.5285714285714286,0.7254901960784313,0.6115702479338843,0.7003731195620259,1416,33,14,37,0.4,206,2800,95
0.964,0.48,0.7058823529411765,0.5714285714285714,0.6861023822996677,1410,39,15,36,0.4,207,2800,95
0.954,0.40425531914893614,0.7450980392156863,0.5241379310344828,0.6521300335734618,1393,56,13,38,0.4,208,2800,95
0.9666666666666667,0.5072463768115942,0.6862745098039216,0.5833333333333334,0.6432157622368352,1415,34,16,35,0.4,209,2800,95
0.962,0.46153846153846156,0.7058823529411765,0.5581395348837209,0.6570730476631276,1407,42,15,36,0.4,210,2800,95
0.9673333333333334,0.5131578947368421,0.7647058823529411,0.6141732283464567,0.6889475214037445,1412,37,12,39,0.4,211,2800,95
0.9726666666666667,0.5735294117647058,0.7647058823529411,0.6554621848739496,0.7337261720544686,1420,29,12,39,0.4,212,2800,95
0.97,0.5428571428571428,0.7450980392156863,0.628099173553719,0.7094347343585619,1417,32,13,38,0.4,213,2800,95
0.9666666666666667,0.5072463768115942,0.6862745098039216,0.5833333333333334,0.6335814646201406,1415,34,16,35,0.4,214,2800,95
0.9606666666666667,0.4523809523809524,0.7450980392156863,0.562962962962963,0.6438167809703123,1403,46,13,38,0.4,215,2800,95
0.962,0.4625,0.7254901960784313,0.5648854961832062,0.6513964666150155,1406,43,14,37,0.4,216,2800,95
0.968,0.5189873417721519,0.803921568627451,0.6307692307692307,0.7559054339192774,1411,38,10,41,0.4,217,2800,95
0.9693333333333334,0.5342465753424658,0.7647058823529411,0.6290322580645161,0.6733903335360798,1415,34,12,39,0.4,218,2800,95
0.968,0.5189873417721519,0.803921568627451,0.6307692307692307,0.7376958050460612,1411,38,10,41,0.4,219,2800,95
0.9686666666666667,0.527027027027027,0.7647058823529411,0.624,0.6826768726826841,1414,35,12,39,0.6,200,4200,142
0.97,0.5394736842105263,0.803921568627451,0.6456692913385826,0.7204958401013347,1414,35,10,41,0.6,201,4200,142
0.9673333333333334,0.5138888888888888,0.7254901960784313,0.6016260162601627,0.6749254988884387,1414,35,14,37,0.6,202,4200,142
0.968,0.5194805194805194,0.7843137254901961,0.625,0.7209780148068838,1412,37,11,40,0.6,203,4200,142
0.9706666666666667,0.5492957746478874,0.7647058823529411,0.639344262295082,0.7268891459045617,1417,32,12,39,0.6,204,4200,142
0.9666666666666667,0.5063291139240507,0.7843137254901961,0.6153846153846154,0.7149932937584456,1410,39,11,40,0.6,205,4200,142
0.9726666666666667,0.5675675675675675,0.8235294117647058,0.672,0.7315021509843195,1417,32,9,42,0.6,206,4200,142
0.966,0.5,0.7843137254901961,0.6106870229007634,0.7147303928846718,1409,40,11,40,0.6,207,4200,142
0.964,0.4823529411764706,0.803921568627451,0.6029411764705882,0.6910073651450013,1405,44,10,41,0.6,208,4200,142
0.97,0.5441176470588235,0.7254901960784313,0.6218487394957983,0.7075837131073555,1418,31,14,37,0.6,209,4200,142
0.9686666666666667,0.5256410256410257,0.803921568627451,0.6356589147286822,0.7458222581416778,1412,37,10,41,0.6,210,4200,142
0.97,0.5405405405405406,0.7843137254901961,0.64,0.7254615264741934,1415,34,11,40,0.6,211,4200,142
0.9733333333333334,0.582089552238806,0.7647058823529411,0.6610169491525424,0.7298226888292677,1421,28,12,39,0.6,212,4200,142
0.9706666666666667,0.5522388059701493,0.7254901960784313,0.6271186440677966,0.7651996893877503,1419,30,14,37,0.6,213,4200,142
0.9713333333333334,0.5588235294117647,0.7450980392156863,0.6386554621848739,0.7197105540415798,1419,30,13,38,0.6,214,4200,142
0.964,0.4810126582278481,0.7450980392156863,0.5846153846153846,0.7169644118788203,1408,41,13,38,0.6,215,4200,142
0.9626666666666667,0.4691358024691358,0.7450980392156863,0.5757575757575758,0.7251756312528842,1406,43,13,38,0.6,216,4200,142
0.966,0.5,0.803921568627451,0.6165413533834586,0.7474017070195772,1408,41,10,41,0.6,217,4200,142
0.9673333333333334,0.5135135135135135,0.7450980392156863,0.608,0.7038636872966791,1413,36,13,38,0.6,218,4200,142
0.974,0.5967741935483871,0.7254901960784313,0.6548672566371682,0.748204208619538,1424,25,14,37,0.6,219,4200,142
0.9653333333333334,0.4935064935064935,0.7450980392156863,0.59375,0.7181486093898475,1410,39,13,38,0.8,200,5600,190
0.9706666666666667,0.5466666666666666,0.803921568627451,0.6507936507936508,0.760073738343368,1415,34,10,41,0.8,201,5600,190
0.9673333333333334,0.5128205128205128,0.7843137254901961,0.6201550387596899,0.7519096380473486,1411,38,11,40,0.8,202,5600,190
0.9693333333333334,0.5342465753424658,0.7647058823529411,0.6290322580645161,0.7558687618844261,1415,34,12,39,0.8,203,5600,190
0.972,0.5652173913043478,0.7647058823529411,0.65,0.7318149891183335,1419,30,12,39,0.8,204,5600,190
0.9686666666666667,0.5256410256410257,0.803921568627451,0.6356589147286822,0.7231860627489102,1412,37,10,41,0.8,205,5600,190
0.976,0.6056338028169014,0.8431372549019608,0.7049180327868853,0.7562432925207514,1421,28,8,43,0.8,206,5600,190
0.9706666666666667,0.5466666666666666,0.803921568627451,0.6507936507936508,0.7841165114402262,1415,34,10,41,0.8,207,5600,190
0.9686666666666667,0.5256410256410257,0.803921568627451,0.6356589147286822,0.7471890131298439,1412,37,10,41,0.8,208,5600,190
0.9666666666666667,0.5063291139240507,0.7843137254901961,0.6153846153846154,0.7726556530783131,1410,39,11,40,0.8,209,5600,190
0.968,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.7505318011239319,1410,39,9,42,0.8,210,5600,190
0.9673333333333334,0.5125,0.803921568627451,0.6259541984732825,0.7537161007798103,1410,39,10,41,0.8,211,5600,190
0.9726666666666667,0.5675675675675675,0.8235294117647058,0.672,0.7633407492874432,1417,32,9,42,0.8,212,5600,190
0.972,0.5633802816901409,0.7843137254901961,0.6557377049180327,0.7727441266808411,1418,31,11,40,0.8,213,5600,190
0.968,0.52,0.7647058823529411,0.6190476190476191,0.7626342183034373,1413,36,12,39,0.8,214,5600,190
0.97,0.5405405405405406,0.7843137254901961,0.64,0.765565176920083,1415,34,11,40,0.8,215,5600,190
0.968,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.7673832202521208,1410,39,9,42,0.8,216,5600,190
0.9733333333333334,0.5733333333333334,0.8431372549019608,0.6825396825396826,0.776560996749591,1417,32,8,43,0.8,217,5600,190
0.9706666666666667,0.5466666666666666,0.803921568627451,0.6507936507936508,0.7386132736886076,1415,34,10,41,0.8,218,5600,190
0.9726666666666667,0.5714285714285714,0.7843137254901961,0.6611570247933884,0.7552603492745192,1419,30,11,40,0.8,219,5600,190
0.9726666666666667,0.5675675675675675,0.8235294117647058,0.672,0.7803092553507491,1417,32,9,42,1.0,42,7000,237
