severity,metric,mean,std,lower_95,upper_95,n
0.0,accuracy,0.9726666666666667,0.0,0.9726666666666667,0.9726666666666667,1
0.0,precision,0.5675675675675675,0.0,0.5675675675675675,0.5675675675675675,1
0.0,recall,0.8235294117647058,0.0,0.8235294117647058,0.8235294117647058,1
0.0,f1,0.672,0.0,0.672,0.672,1
0.0,average_precision,0.7803092553507491,0.0,0.7803092553507491,0.7803092553507491,1
0.05,accuracy,0.9674222222222222,0.0026069952071718777,0.9664893209684686,0.9683551234759757,30
0.05,precision,0.5140996877347093,0.025272510460944014,0.5050560360127363,0.5231433394566822,30
0.05,recall,0.7875816993464053,0.038562282500682554,0.7737823637766584,0.8013810349161522,30
0.05,f1,0.6218476359651314,0.027622424081913996,0.611963078453541,0.6317321934767217,30
0.05,average_precision,0.7392689484333176,0.02350359196732694,0.7308582960647548,0.7476796008018803,30
0.1,accuracy,0.9628,0.003314429153417968,0.9616139467597812,0.9639860532402188,30
0.1,precision,0.4718008761499603,0.029203941444840488,0.46135037991832617,0.48225137238159443,30
0.1,recall,0.7601307189542484,0.03442061332746176,0.7478134606640074,0.7724479772444894,30
0.1,f1,0.5819063543008568,0.02965143547919411,0.5712957243856059,0.5925169842161077,30
0.1,average_precision,0.686168434226004,0.03800090641655006,0.6725699845080123,0.6997668839439958,30
0.2,accuracy,0.9530888888888889,0.004354003163807675,0.9515308288666882,0.9546469489110896,30
0.2,precision,0.395611034861532,0.031910494656258614,0.3841920110018698,0.4070300587211942,30
0.2,recall,0.7098039215686274,0.04841411030038243,0.6924791546974264,0.7271286884398284,30
0.2,f1,0.5075734699660424,0.035277989195503706,0.4949494036617191,0.5201975362703656,30
0.2,average_precision,0.561126160018705,0.05768555893615392,0.5404836478625765,0.5817686721748334,30
0.3,accuracy,0.9382444444444444,0.004567026022720868,0.9366101551711843,0.9398787337177046,30
0.3,precision,0.31289216369482775,0.026101551474225576,0.30355184345632824,0.32223248393332726,30
0.3,recall,0.6790849673202614,0.04925119960130878,0.6614606518897882,0.6967092827507345,30
0.3,f1,0.4281627894710554,0.032645472526839595,0.4164807571581901,0.4398448217839207,30
0.3,average_precision,0.45955005357950174,0.05401127786045852,0.4402223660201848,0.4788777411388187,30
