accuracy,precision,recall,f1,average_precision,tn,fp,fn,tp,severity,seed,missing_cells,mechanism
0.974,0.5882352941176471,0.7843137254901961,0.6722689075630253,0.75830011611505,1421,28,11,40,0.05,113,377,MCAR-style synthetic
0.9713333333333334,0.5555555555555556,0.7843137254901961,0.6504065040650406,0.7299392603677101,1417,32,11,40,0.05,114,369,MCAR-style synthetic
0.9726666666666667,0.5757575757575758,0.7450980392156863,0.6495726495726496,0.7446314768890213,1421,28,13,38,0.05,115,400,MCAR-style synthetic
0.974,0.5857142857142857,0.803921568627451,0.6776859504132231,0.6999508134914395,1420,29,10,41,0.05,116,370,MCAR-style synthetic
0.974,0.5833333333333334,0.8235294117647058,0.6829268292682927,0.7519672115310659,1419,30,9,42,0.05,117,402,MCAR-style synthetic
0.9766666666666667,0.625,0.7843137254901961,0.6956521739130435,0.7234578635086066,1425,24,11,40,0.05,118,334,MCAR-style synthetic
0.972,0.5671641791044776,0.7450980392156863,0.6440677966101694,0.7051307930338059,1420,29,13,38,0.05,119,383,MCAR-style synthetic
0.97,0.5454545454545454,0.7058823529411765,0.6153846153846154,0.692760829684586,1419,30,15,36,0.05,120,375,MCAR-style synthetic
0.9713333333333334,0.5571428571428572,0.7647058823529411,0.6446280991735537,0.7414798571961079,1418,31,12,39,0.05,121,392,MCAR-style synthetic
0.9706666666666667,0.5492957746478874,0.7647058823529411,0.639344262295082,0.7155968857123716,1417,32,12,39,0.05,122,363,MCAR-style synthetic
0.972,0.5692307692307692,0.7254901960784313,0.6379310344827587,0.7304301855546251,1421,28,14,37,0.05,123,385,MCAR-style synthetic
0.9726666666666667,0.5694444444444444,0.803921568627451,0.6666666666666666,0.7466601233774717,1418,31,10,41,0.05,124,392,MCAR-style synthetic
0.97,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.7026426781760629,1416,33,12,39,0.05,125,390,MCAR-style synthetic
0.972,0.5633802816901409,0.7843137254901961,0.6557377049180327,0.6691533368430295,1418,31,11,40,0.05,126,402,MCAR-style synthetic
0.9686666666666667,0.527027027027027,0.7647058823529411,0.624,0.6870644132816623,1414,35,12,39,0.05,127,363,MCAR-style synthetic
0.97,0.5428571428571428,0.7450980392156863,0.628099173553719,0.6919549040137725,1417,32,13,38,0.05,128,369,MCAR-style synthetic
0.9713333333333334,0.5555555555555556,0.7843137254901961,0.6504065040650406,0.716650696055342,1417,32,11,40,0.05,129,368,MCAR-style synthetic
0.9693333333333334,0.5384615384615384,0.6862745098039216,0.603448275862069,0.6375966104051771,1419,30,16,35,0.1,100,729,MCAR-style synthetic
0.9746666666666667,0.5970149253731343,0.7843137254901961,0.6779661016949152,0.6958100267504469,1422,27,11,40,0.1,101,763,MCAR-style synthetic
0.9726666666666667,0.5735294117647058,0.7647058823529411,0.6554621848739496,0.6657569819778316,1420,29,12,39,0.1,102,776,MCAR-style synthetic
0.9706666666666667,0.5538461538461539,0.7058823529411765,0.6206896551724138,0.6932386546255506,1420,29,15,36,0.1,103,755,MCAR-style synthetic
0.9726666666666667,0.578125,0.7254901960784313,0.6434782608695652,0.652502293053367,1422,27,14,37,0.1,104,784,MCAR-style synthetic
0.972,0.5714285714285714,0.7058823529411765,0.631578947368421,0.6543597008379253,1422,27,15,36,0.1,105,750,MCAR-style synthetic
0.97,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.6735977915938055,1416,33,12,39,0.1,106,785,MCAR-style synthetic
0.9706666666666667,0.5522388059701493,0.7254901960784313,0.6271186440677966,0.6672207580088516,1419,30,14,37,0.1,107,748,MCAR-style synthetic
0.9726666666666667,0.5757575757575758,0.7450980392156863,0.6495726495726496,0.6965996036979911,1421,28,13,38,0.1,108,753,MCAR-style synthetic
0.972,0.5616438356164384,0.803921568627451,0.6612903225806451,0.6694630013933699,1417,32,10,41,0.1,109,724,MCAR-style synthetic
0.9686666666666667,0.5333333333333333,0.6274509803921569,0.5765765765765766,0.5559651781853688,1421,28,19,32,0.1,110,784,MCAR-style synthetic
0.97,0.546875,0.6862745098039216,0.6086956521739131,0.5995749339675948,1420,29,16,35,0.1,111,749,MCAR-style synthetic
0.9766666666666667,0.6290322580645161,0.7647058823529411,0.6902654867256637,0.7116805354335038,1426,23,12,39,0.1,112,723,MCAR-style synthetic
0.974,0.5967741935483871,0.7254901960784313,0.6548672566371682,0.6759849586711821,1424,25,14,37,0.1,113,765,MCAR-style synthetic
0.9733333333333334,0.5797101449275363,0.7843137254901961,0.6666666666666666,0.729909619157765,1420,29,11,40,0.1,114,770,MCAR-style synthetic
0.9733333333333334,0.5873015873015873,0.7254901960784313,0.6491228070175439,0.6989550572075528,1423,26,14,37,0.1,115,774,MCAR-style synthetic
0.974,0.6,0.7058823529411765,0.6486486486486487,0.6131138209260738,1425,24,15,36,0.1,116,749,MCAR-style synthetic
0.9733333333333334,0.5797101449275363,0.7843137254901961,0.6666666666666666,0.7323507286829809,1420,29,11,40,0.1,117,742,MCAR-style synthetic
0.9746666666666667,0.6031746031746031,0.7450980392156863,0.6666666666666666,0.668181269032732,1424,25,13,38,0.1,118,707,MCAR-style synthetic
0.9706666666666667,0.559322033898305,0.6470588235294118,0.6,0.6226749311969425,1423,26,18,33,0.1,119,731,MCAR-style synthetic
0.9686666666666667,0.5303030303030303,0.6862745098039216,0.5982905982905983,0.5930080143430236,1418,31,16,35,0.1,120,740,MCAR-style synthetic
0.972,0.5692307692307692,0.7254901960784313,0.6379310344827587,0.6905157196598578,1421,28,14,37,0.1,121,772,MCAR-style synthetic
0.9693333333333334,0.5362318840579711,0.7254901960784313,0.6166666666666667,0.6515150994468717,1417,32,14,37,0.1,122,736,MCAR-style synthetic
0.9746666666666667,0.6140350877192983,0.6862745098039216,0.6481481481481481,0.682047638317349,1427,22,16,35,0.1,123,762,MCAR-style synthetic
0.9686666666666667,0.5294117647058824,0.7058823529411765,0.6050420168067226,0.6670134756745008,1417,32,15,36,0.1,124,784,MCAR-style synthetic
0.9666666666666667,0.5076923076923077,0.6470588235294118,0.5689655172413793,0.6281405492576518,1417,32,18,33,0.1,125,795,MCAR-style synthetic
0.9693333333333334,0.5373134328358209,0.7058823529411765,0.6101694915254238,0.5816546124005867,1418,31,15,36,0.1,126,811,MCAR-style synthetic
0.968,0.5238095238095238,0.6470588235294118,0.5789473684210527,0.5918423675681432,1419,30,18,33,0.1,127,721,MCAR-style synthetic
0.9706666666666667,0.5522388059701493,0.7254901960784313,0.6271186440677966,0.690999472995045,1419,30,14,37,0.1,128,756,MCAR-style synthetic
0.968,0.5217391304347826,0.7058823529411765,0.6,0.6147082304146491,1416,33,15,36,0.1,129,746,MCAR-style synthetic
0.9686666666666667,0.5370370370370371,0.5686274509803921,0.5523809523809524,0.5910274957544859,1424,25,22,29,0.2,100,1471,MCAR-style synthetic
0.974,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.6115327121437115,1428,21,18,33,0.2,101,1533,MCAR-style synthetic
0.972,0.5818181818181818,0.6274509803921569,0.6037735849056604,0.5838601906845344,1426,23,19,32,0.2,102,1505,MCAR-style synthetic
0.9693333333333334,0.5409836065573771,0.6470588235294118,0.5892857142857143,0.6076351477940931,1421,28,18,33,0.2,103,1521,MCAR-style synthetic
0.9733333333333334,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.5349952257988037,1429,20,20,31,0.2,104,1524,MCAR-style synthetic
0.97,0.5576923076923077,0.5686274509803921,0.5631067961165048,0.5054991409670901,1426,23,22,29,0.2,105,1469,MCAR-style synthetic
0.972,0.5737704918032787,0.6862745098039216,0.625,0.6054588559869671,1423,26,16,35,0.2,106,1498,MCAR-style synthetic
0.974,0.603448275862069,0.6862745098039216,0.6422018348623854,0.6246176748271194,1426,23,16,35,0.2,107,1490,MCAR-style synthetic
0.9733333333333334,0.6,0.6470588235294118,0.6226415094339622,0.6037352747184136,1427,22,18,33,0.2,108,1501,MCAR-style synthetic
0.9733333333333334,0.582089552238806,0.7647058823529411,0.6610169491525424,0.6109034684889156,1421,28,12,39,0.2,109,1489,MCAR-style synthetic
0.968,0.5333333333333333,0.47058823529411764,0.5,0.4190584483552915,1428,21,27,24,0.2,110,1553,MCAR-style synthetic
0.968,0.5254237288135594,0.6078431372549019,0.5636363636363636,0.518812357972322,1421,28,20,31,0.2,111,1462,MCAR-style synthetic
0.9706666666666667,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5302979432322068,1427,22,22,29,0.2,112,1449,MCAR-style synthetic
0.9713333333333334,0.5769230769230769,0.5882352941176471,0.5825242718446602,0.5872015150919756,1427,22,21,30,0.2,113,1488,MCAR-style synthetic
0.9713333333333334,0.5645161290322581,0.6862745098039216,0.6194690265486725,0.5942793149648568,1422,27,16,35,0.2,114,1530,MCAR-style synthetic
0.974,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.6039755368023391,1428,21,18,33,0.2,115,1509,MCAR-style synthetic
0.972,0.5849056603773585,0.6078431372549019,0.5961538461538461,0.5191646924419259,1427,22,20,31,0.2,116,1527,MCAR-style synthetic
0.9706666666666667,0.559322033898305,0.6470588235294118,0.6,0.6254504153442226,1423,26,18,33,0.2,117,1506,MCAR-style synthetic
