accuracy,precision,recall,f1,average_precision,tn,fp,fn,tp,severity,seed,scale_source
0.9726666666666667,0.5675675675675675,0.8235294117647058,0.672,0.7803092553507491,1417,32,9,42,0.0,42,training standard deviation
0.964,0.4810126582278481,0.7450980392156863,0.5846153846153846,0.7076237788022425,1408,41,13,38,0.05,100,training standard deviation
0.97,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.720081062424884,1416,33,12,39,0.05,101,training standard deviation
0.9693333333333334,0.5324675324675324,0.803921568627451,0.640625,0.7608483584029783,1413,36,10,41,0.05,102,training standard deviation
0.9706666666666667,0.5454545454545454,0.8235294117647058,0.65625,0.7650665969543877,1414,35,9,42,0.05,103,training standard deviation
0.9673333333333334,0.5128205128205128,0.7843137254901961,0.6201550387596899,0.7165461581469128,1411,38,11,40,0.05,104,training standard deviation
0.97,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.7436523703066827,1416,33,12,39,0.05,105,training standard deviation
0.968,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.739771185213232,1410,39,9,42,0.05,106,training standard deviation
0.968,0.5189873417721519,0.803921568627451,0.6307692307692307,0.7718497140114859,1411,38,10,41,0.05,107,training standard deviation
0.9686666666666667,0.5256410256410257,0.803921568627451,0.6356589147286822,0.7484657752334495,1412,37,10,41,0.05,108,training standard deviation
0.966,0.5,0.7450980392156863,0.5984251968503937,0.7487500290310961,1411,38,13,38,0.05,109,training standard deviation
0.9713333333333334,0.5512820512820513,0.8431372549019608,0.6666666666666666,0.7969546582407571,1414,35,8,43,0.05,110,training standard deviation
0.9653333333333334,0.4935064935064935,0.7450980392156863,0.59375,0.7495006751382421,1410,39,13,38,0.05,111,training standard deviation
0.966,0.5,0.803921568627451,0.6165413533834586,0.7236044545704395,1408,41,10,41,0.05,112,training standard deviation
0.9646666666666667,0.48717948717948717,0.7450980392156863,0.5891472868217055,0.73519122017471,1409,40,13,38,0.05,113,training standard deviation
0.968,0.5189873417721519,0.803921568627451,0.6307692307692307,0.732046528148812,1411,38,10,41,0.05,114,training standard deviation
0.964,0.4819277108433735,0.7843137254901961,0.5970149253731343,0.7173399954772104,1406,43,11,40,0.05,115,training standard deviation
0.9686666666666667,0.5256410256410257,0.803921568627451,0.6356589147286822,0.7095275295068973,1412,37,10,41,0.05,116,training standard deviation
0.964,0.4819277108433735,0.7843137254901961,0.5970149253731343,0.7268589161086774,1406,43,11,40,0.05,117,training standard deviation
0.968,0.5211267605633803,0.7254901960784313,0.6065573770491803,0.748692306692456,1415,34,14,37,0.05,118,training standard deviation
0.9653333333333334,0.49382716049382713,0.7843137254901961,0.6060606060606061,0.7374297066752695,1408,41,11,40,0.05,119,training standard deviation
0.9633333333333334,0.47435897435897434,0.7254901960784313,0.5736434108527132,0.7033254843363985,1408,41,14,37,0.05,120,training standard deviation
0.962,0.4625,0.7254901960784313,0.5648854961832062,0.7172491808812125,1406,43,14,37,0.05,121,training standard deviation
0.9706666666666667,0.5443037974683544,0.8431372549019608,0.6615384615384615,0.7794442552999656,1413,36,8,43,0.05,122,training standard deviation
0.9653333333333334,0.49333333333333335,0.7254901960784313,0.5873015873015873,0.7079857445479065,1411,38,14,37,0.05,123,training standard deviation
0.966,0.5,0.8431372549019608,0.6277372262773723,0.7270262185931518,1406,43,8,43,0.05,124,training standard deviation
0.9713333333333334,0.5540540540540541,0.803921568627451,0.656,0.7607741552790752,1416,33,10,41,0.05,125,training standard deviation
0.9686666666666667,0.525,0.8235294117647058,0.6412213740458015,0.7538177234640493,1411,38,9,42,0.05,126,training standard deviation
0.968,0.5194805194805194,0.7843137254901961,0.625,0.7510097268847752,1412,37,11,40,0.05,127,training standard deviation
0.9693333333333334,0.5308641975308642,0.8431372549019608,0.6515151515151515,0.7158207408833946,1411,38,8,43,0.05,128,training standard deviation
0.9706666666666667,0.5454545454545454,0.8235294117647058,0.65625,0.761814203568778,1414,35,9,42,0.05,129,training standard deviation
0.9586666666666667,0.4367816091954023,0.7450980392156863,0.5507246376811594,0.6519686075120137,1400,49,13,38,0.1,100,training standard deviation
0.96,0.4457831325301205,0.7254901960784313,0.5522388059701493,0.6240874168677617,1403,46,14,37,0.1,101,training standard deviation
0.9666666666666667,0.5064935064935064,0.7647058823529411,0.609375,0.7223172071784515,1411,38,12,39,0.1,102,training standard deviation
0.962,0.46511627906976744,0.7843137254901961,0.583941605839416,0.739428749677848,1403,46,11,40,0.1,103,training standard deviation
0.9613333333333334,0.45569620253164556,0.7058823529411765,0.5538461538461539,0.6452691595435477,1406,43,15,36,0.1,104,training standard deviation
0.968,0.5189873417721519,0.803921568627451,0.6307692307692307,0.7191773463953886,1411,38,10,41,0.1,105,training standard deviation
0.9653333333333334,0.49382716049382713,0.7843137254901961,0.6060606060606061,0.6910183392300758,1408,41,11,40,0.1,106,training standard deviation
0.9686666666666667,0.5256410256410257,0.803921568627451,0.6356589147286822,0.7785231831291199,1412,37,10,41,0.1,107,training standard deviation
0.9653333333333334,0.4936708860759494,0.7647058823529411,0.6,0.7165854903718867,1409,40,12,39,0.1,108,training standard deviation
0.96,0.4444444444444444,0.7058823529411765,0.5454545454545454,0.7005879597032767,1404,45,15,36,0.1,109,training standard deviation
